id,nombre,precio
1,Clavel,10
2,Malva,4
3,Gardenia,8
4,Scabiosa,5
5,Celosía,15
6,Agapanto,22
7,Strelitzia,14
8,Iris,29
9,Delphinium,21
10,Gardenia,27
11,Lantana,20
12,Cosmos,9
13,Clavel,23
14,Agapanto,7
15,Gaura,15
16,Zinnia,28
17,Alstroemeria,4
18,Agapanto,18
19,Tuberosa,2
20,Ciclamen,9
21,Jazmín,4
22,Gypsophila,3
23,Petunia,21
24,Lirio,2
25,Salvia,8
26,Amapola,26
27,Yuca,7
28,Narciso,27
29,Tradescantia,7
30,Petunia,27
31,Verbena,11
32,Geranio,26
33,Rosa,9
34,Geranio,5
35,Strelitzia,9
36,Fucsia,4
37,Orquídea,5
38,Tulipán,12
39,Zinnia,19
40,Prímula,1
41,Fucsia,9
42,Girasol,5
43,Delphinium,17
44,Violeta,24
45,Narciso,16
46,Gladiolo,25
47,Alstroemeria,17
48,Lavanda,15
49,Monarda,8
50,Margarita,24
51,Oxalis,10
52,Gypsophila,21
53,Orquídea,2
54,Kalanchoe,28
55,Coreopsis,14
56,Lavanda,16
57,Gaura,3
58,Azalea,11
59,Geranio,3
60,Amapola,9
61,Tradescantia,23
62,Prímula,13
63,Paphiopedilum,10
64,Gypsophila,17
65,Echinácea,4
66,Violeta,28
67,Tradescantia,24
68,Petunia,14
69,Gladiolo,29
70,Verbena,14
71,Statice,27
72,Gypsophila,13
73,Delphinium,24
74,Gardenia,11
75,Dianthus,11
76,Caléndula,12
77,Iris,22
78,Ixora,3
79,Camelia,27
80,Azalea,3
81,Echinácea,4
82,Agapanto,26
83,Amapola,18
84,Jacinto,19
85,Tritoma,18
86,Salvia,22
87,Hortensia,14
88,Tuberosa,28
89,Dianthus,28
90,Girasol,10
91,Nemesia,12
92,Lavanda,19
93,Monarda,7
94,Iris,22
95,Kalanchoe,8
96,Lavanda,12
97,Tritoma,12
98,Violeta,25
99,Heleboro,19
100,Ranúnculo,26
101,Dianthus,28
102,Tritoma,25
103,Tritoma,1
104,Fresia,1
105,Hibisco,9
106,Nemesia,30
107,Statice,12
108,Rosa,6
109,Geranio,19
110,Coreopsis,3
111,Geranio,24
112,Orquídea,3
113,Paphiopedilum,7
114,Boca de dragón,14
115,Gypsophila,11
116,Begonia,12
117,Nemesia,24
118,Prímula,25
119,Yuca,20
120,Azalea,29
121,Girasol,5
122,Begonia,25
123,Girasol,22
124,Azalea,9
125,Gaura,22
126,Dianthus,16
127,Gaura,14
128,Fresia,7
